age,y
17,0.4
18,0.42857142857142855
19,0.47619047619047616
20,0.35384615384615387
21,0.28431372549019607
22,0.26277372262773724
23,0.21238938053097345
24,0.1857451403887689
25,0.15551839464882944
26,0.17478510028653296
27,0.13396004700352526
28,0.15084915084915085
29,0.12801101169993118
30,0.11785297549591599
31,0.11299435028248588
32,0.09967497291440953
33,0.11456628477905073
34,0.10544412607449857
35,0.09494030699260944
36,0.08651685393258426
37,0.0928813559322034
38,0.10163468372423597
39,0.07960893854748603
40,0.07235142118863049
41,0.08841940532081377
42,0.0796847635726795
43,0.08341232227488152
44,0.076162215628091
45,0.08340888485947416
46,0.0766990291262136
47,0.0625
48,0.09908069458631256
49,0.06555423122765197
50,0.09942857142857142
51,0.09549071618037135
52,0.10397946084724005
53,0.0927694406548431
54,0.0935672514619883
55,0.08641975308641975
56,0.11363636363636363
57,0.09597523219814241
58,0.10069444444444445
59,0.1490280777537797
60,0.2049469964664311
61,0.4383561643835616
62,0.4032258064516129
63,0.3090909090909091
64,0.47368421052631576
65,0.5227272727272727
66,0.5087719298245614
67,0.4230769230769231
68,0.45454545454545453
69,0.4117647058823529
70,0.40425531914893614
71,0.39622641509433965
72,0.38235294117647056
73,0.38235294117647056
74,0.46875
75,0.4583333333333333
76,0.5294117647058824
77,0.65
78,0.5185185185185185
79,0.5
80,0.5806451612903226
81,0.4
82,0.6470588235294118
83,0.47058823529411764
84,0.42857142857142855
85,0.4666666666666667
86,0.625
87,1.0
88,0.4090909090909091
89,1.0
91,0.0
92,0.75
94,0.0
95,0.0
98,1.0
